Name, Min(ns), Max(ns), Avg(ns), p75(ns), p95(ns), p99(ns), p995(ns)
Add 8x8 (Flat Func),undefined,undefined,570,undefined,undefined,undefined
Add 8x8 (Flat Unrolled),undefined,undefined,2300,undefined,undefined,undefined
Add 8x8 (F64),undefined,undefined,1440,undefined,undefined,undefined
Add 8x8 (F32),undefined,undefined,930,undefined,undefined,undefined
Add 8x8 (I32),undefined,undefined,830,undefined,undefined,undefined
Add 8x8 (F64 Flat),undefined,undefined,925,undefined,undefined,undefined
Add 8x8 (F32 Flat),undefined,undefined,895,undefined,undefined,undefined
Add 8x8 (I32 Flat),undefined,undefined,760,undefined,undefined,undefined
Add 8x8 (WASM F64),undefined,undefined,1165,undefined,undefined,undefined
Add 8x8 (WASM SIMD F64),undefined,undefined,1185,undefined,undefined,undefined
Add 8x8 (WASM SIMD F32),undefined,undefined,955,undefined,undefined,undefined
Add 8x8 (WASM SIMD I32),undefined,undefined,945,undefined,undefined,undefined
Add 8x8 (WebGL F32),undefined,undefined,474240,undefined,undefined,undefined
Add 8x8 (WebGPU F32),undefined,undefined,3380625,undefined,undefined,undefined
Add 16x16 (Func),undefined,undefined,2030,undefined,undefined,undefined
Add 16x16 (Loop),undefined,undefined,3120,undefined,undefined,undefined
Add 16x16 (Loop Prealloc),undefined,undefined,1170,undefined,undefined,undefined
Add 16x16 (Unrolled),undefined,undefined,8385,undefined,undefined,undefined
Add 16x16 (Unrolled Dynamic),undefined,undefined,8385,undefined,undefined,undefined
Add 16x16 (Flat),undefined,undefined,605,undefined,undefined,undefined
Add 16x16 (Flat column Major),undefined,undefined,625,undefined,undefined,undefined
Add 16x16 (Flat Simple),undefined,undefined,520,undefined,undefined,undefined
Add 16x16 (Flat Func),undefined,undefined,1175,undefined,undefined,undefined
Add 16x16 (Flat Unrolled),undefined,undefined,8685,undefined,undefined,undefined
Add 16x16 (F64),undefined,undefined,3485,undefined,undefined,undefined
Add 16x16 (F32),undefined,undefined,3600,undefined,undefined,undefined
Add 16x16 (I32),undefined,undefined,2625,undefined,undefined,undefined
Add 16x16 (F64 Flat),undefined,undefined,2105,undefined,undefined,undefined
Add 16x16 (F32 Flat),undefined,undefined,1710,undefined,undefined,undefined
Add 16x16 (I32 Flat),undefined,undefined,1510,undefined,undefined,undefined
Add 16x16 (WASM F64),undefined,undefined,3590,undefined,undefined,undefined
Add 16x16 (WASM SIMD F64),undefined,undefined,3635,undefined,undefined,undefined
Add 16x16 (WASM SIMD F32),undefined,undefined,1525,undefined,undefined,undefined
Add 16x16 (WASM SIMD I32),undefined,undefined,1490,undefined,undefined,undefined
Add 16x16 (WebGL F32),undefined,undefined,488900,undefined,undefined,undefined
